"","ensembl_gene_id","chromosome_name","spin","hgnc_symbol","tpm_resting","tpm_activated"
"1","ENSG00000079482","chrX","Near_Lm2","OPHN1",15.8554502629612,11.8009720953195
"2","ENSG00000079482","chrX","Interior_Act3","OPHN1",15.8554502629612,11.8009720953195
"3","ENSG00000079482","chrX","Interior_Act1","OPHN1",15.8554502629612,11.8009720953195
"4","ENSG00000081853","chr5","Interior_Repr1","PCDHGA2",6.27049031238667,0
"5","ENSG00000081853","chr5","Interior_Act1","PCDHGA2",6.27049031238667,0
"6","ENSG00000081853","chr5","Interior_Act2","PCDHGA2",6.27049031238667,0
"7","ENSG00000107518","chr10","Near_Lm2","ATRNL1",18.3268305992691,11.4913091183356
"8","ENSG00000107518","chr10","Lamina","ATRNL1",18.3268305992691,11.4913091183356
"9","ENSG00000107518","chr10","Interior_Repr1","ATRNL1",18.3268305992691,11.4913091183356
"10","ENSG00000129521","chr14","Interior_Act3","EGLN3",511.421254103099,325.807277695552
"11","ENSG00000129521","chr14","Near_Lm1","EGLN3",511.421254103099,325.807277695552
"12","ENSG00000129521","chr14","Interior_Repr2","EGLN3",511.421254103099,325.807277695552
"13","ENSG00000169862","chr5","Near_Lm1","CTNND2",26.2328788461905,0
"14","ENSG00000169862","chr5","Near_Lm2","CTNND2",26.2328788461905,0
"15","ENSG00000169862","chr5","Lamina","CTNND2",26.2328788461905,0
"16","ENSG00000174469","chr7","Near_Lm2","CNTNAP2",111.627669588442,0
"17","ENSG00000174469","chr7","Lamina","CNTNAP2",111.627669588442,0
"18","ENSG00000174469","chr7","Interior_Act3","CNTNAP2",111.627669588442,0
"19","ENSG00000204764","chr5","Near_Lm2","RANBP17",9.30762612806365,1.04116953489386
"20","ENSG00000204764","chr5","Lamina","RANBP17",9.30762612806365,1.04116953489386
"21","ENSG00000204764","chr5","Interior_Repr1","RANBP17",9.30762612806365,1.04116953489386
"22","ENSG00000204956","chr5","Interior_Repr1","PCDHGA1",55.2397892515735,2.04546534932592
"23","ENSG00000204956","chr5","Interior_Act1","PCDHGA1",55.2397892515735,2.04546534932592
"24","ENSG00000204956","chr5","Interior_Act2","PCDHGA1",55.2397892515735,2.04546534932592
"25","ENSG00000227110","chr3","Lamina","LMCD1-AS1",3.97103477034297,10.0187049150312
"26","ENSG00000227110","chr3","Near_Lm2","LMCD1-AS1",3.97103477034297,10.0187049150312
"27","ENSG00000227110","chr3","Near_Lm1","LMCD1-AS1",3.97103477034297,10.0187049150312
"28","ENSG00000243566","chr7","Interior_Act3","UPK3B",311.234596288174,76.4231555779683
"29","ENSG00000243566","chr7","Near_Lm2","UPK3B",311.234596288174,76.4231555779683
"30","ENSG00000243566","chr7","Near_Lm1","UPK3B",311.234596288174,76.4231555779683
"31","ENSG00000253485","chr5","Interior_Repr1","PCDHGA5",47.3478661142576,12.2428133430604
"32","ENSG00000253485","chr5","Interior_Act1","PCDHGA5",47.3478661142576,12.2428133430604
"33","ENSG00000253485","chr5","Interior_Act2","PCDHGA5",47.3478661142576,12.2428133430604
"34","ENSG00000253537","chr5","Interior_Repr1","PCDHGA7",49.5735105442762,2.0667861607847
"35","ENSG00000253537","chr5","Interior_Act1","PCDHGA7",49.5735105442762,2.0667861607847
"36","ENSG00000253537","chr5","Interior_Act2","PCDHGA7",49.5735105442762,2.0667861607847
"37","ENSG00000253731","chr5","Interior_Repr1","PCDHGA6",101.956825630185,8.67949506218278
"38","ENSG00000253731","chr5","Interior_Act1","PCDHGA6",101.956825630185,8.67949506218278
"39","ENSG00000253731","chr5","Interior_Act2","PCDHGA6",101.956825630185,8.67949506218278
"40","ENSG00000253767","chr5","Interior_Repr1","PCDHGA8",32.9044259439273,0
"41","ENSG00000253767","chr5","Interior_Act1","PCDHGA8",32.9044259439273,0
"42","ENSG00000253767","chr5","Interior_Act2","PCDHGA8",32.9044259439273,0
"43","ENSG00000253910","chr5","Interior_Repr1","PCDHGB2",80.4940273502836,28.0834398965025
"44","ENSG00000253910","chr5","Interior_Act1","PCDHGB2",80.4940273502836,28.0834398965025
"45","ENSG00000253910","chr5","Interior_Act2","PCDHGB2",80.4940273502836,28.0834398965025
"46","ENSG00000253953","chr5","Interior_Repr1","PCDHGB4",91.7592765180407,33.5926010993578
"47","ENSG00000253953","chr5","Interior_Act1","PCDHGB4",91.7592765180407,33.5926010993578
"48","ENSG00000253953","chr5","Interior_Act2","PCDHGB4",91.7592765180407,33.5926010993578
"49","ENSG00000254221","chr5","Interior_Repr1","PCDHGB1",17.234278402798,7.17418053106509
"50","ENSG00000254221","chr5","Interior_Act1","PCDHGB1",17.234278402798,7.17418053106509
"51","ENSG00000254221","chr5","Interior_Act2","PCDHGB1",17.234278402798,7.17418053106509
"52","ENSG00000254245","chr5","Interior_Repr1","PCDHGA3",16.2731835979206,0
"53","ENSG00000254245","chr5","Interior_Act1","PCDHGA3",16.2731835979206,0
"54","ENSG00000254245","chr5","Interior_Act2","PCDHGA3",16.2731835979206,0
"55","ENSG00000262209","chr5","Interior_Repr1","PCDHGB3",103.825890996838,13.28578858929
"56","ENSG00000262209","chr5","Interior_Act1","PCDHGB3",103.825890996838,13.28578858929
"57","ENSG00000262209","chr5","Interior_Act2","PCDHGB3",103.825890996838,13.28578858929
"58","ENSG00000262576","chr5","Interior_Repr1","PCDHGA4",36.8190571254725,7.15547341103623
"59","ENSG00000262576","chr5","Interior_Act1","PCDHGA4",36.8190571254725,7.15547341103623
"60","ENSG00000262576","chr5","Interior_Act2","PCDHGA4",36.8190571254725,7.15547341103623
